year,dorm,room_number,course,geolocation,grade
2002,500 Memorial Dr , '308',16 1,CA,4
2002,500 Memorial Dr , 322,6 2,CA,4
2002,500 Memorial Dr , 315,6 2,MD,3
2002,500 Memorial Dr , 213,0,NJ,1
2002,500 Memorial Dr , 314,16 1,CA,2
2002,500 Memorial Dr , 574,15,TX,4
2002,500 Memorial Dr , 456,6 3,NY,4
2002,500 Memorial Dr , 220,3 B,CA,2
2002,500 Memorial Dr , 441,0,CA,1
2002,500 Memorial Dr , 326,6 2,IL,4
2002,500 Memorial Dr , 303,0,UT,1
2002,500 Memorial Dr , 513,0,VA,1
2002,500 Memorial Dr , 561,18,,2
2002,500 Memorial Dr , 365,0,NY,1
2002,500 Memorial Dr , 258,7,NJ,2
2002,500 Memorial Dr , 351,0,IL,1
2002,500 Memorial Dr , 423,6 2,CA,3
2002,500 Memorial Dr , 524,15,NY,3
2002,500 Memorial Dr , 260,8,PA,2
2002,500 Memorial Dr , 546,5,MI,4
2002,500 Memorial Dr , 421,0,CA,1
2002,500 Memorial Dr , 332,0,NY,1
2002,500 Memorial Dr , 238,0,NY,1
2002,500 Memorial Dr , 515,0,,1
2002,500 Memorial Dr , 575,0,TX,1
2002,500 Memorial Dr , 518,7,MA,2
2002,500 Memorial Dr , 202,0,NY,1
2002,500 Memorial Dr , 415,2,NC,2
2002,500 Memorial Dr , 538,16 1,CA,2
2002,500 Memorial Dr , 356,4,WA,4
2002,500 Memorial Dr , 554,0,MD,1
2002,500 Memorial Dr , 366,6 1,PA,2
2002,500 Memorial Dr , 336,6 1,MA,3
2002,500 Memorial Dr , 428,15,NY,2
2002,500 Memorial Dr , 401,0,HI,1
2002,500 Memorial Dr , 465,0,MA,1
2002,500 Memorial Dr , 374,18,TX,4
2002,500 Memorial Dr , 453,0,CA,1
2002,500 Memorial Dr , 332,0,NJ,1
2002,500 Memorial Dr , 544,6 1,CA,4
2002,500 Memorial Dr , 535,0,,1
2002,500 Memorial Dr , 432,0,NY,1
2002,500 Memorial Dr , 253,7,OK,2
2002,500 Memorial Dr , 556,6 2,NJ,4
2002,500 Memorial Dr , 246,5,MA,2
2002,500 Memorial Dr , 532,0,,1
2002,500 Memorial Dr , 458,6 2A,,4
2002,500 Memorial Dr , 359,0,NJ,1
2002,500 Memorial Dr , 206,0,MA,1
2002,500 Memorial Dr , 375,0,CA,1
2002,500 Memorial Dr , 413,0,CT,1
2002,500 Memorial Dr , 252,7,PA,2
2002,500 Memorial Dr , 407,6 3,NJ,3
2002,500 Memorial Dr , 366,2,TX,2
2002,500 Memorial Dr , 433,6 3,CA,2
2002,500 Memorial Dr , 201,0,CO,1
2002,500 Memorial Dr , 543,0,CA,1
2002,500 Memorial Dr , 351,0,CA,1
2002,500 Memorial Dr , 224,0,NC,1
2002,500 Memorial Dr , 232,5,OH,2
2002,500 Memorial Dr , 420,6 2,NY,3
2002,500 Memorial Dr , 301,0,,1
2002,500 Memorial Dr , 368,4,FL,3
2002,500 Memorial Dr , 334,6 2A,GA,4
2002,500 Memorial Dr , 468,7,,3
2002,500 Memorial Dr , 239,0,MD,1
2002,500 Memorial Dr , 429,0,PA,1
2002,500 Memorial Dr , 239,0,,1
2002,500 Memorial Dr , 508,6 2,NY,4
2002,500 Memorial Dr , 510,3 B,NJ,3
2002,500 Memorial Dr , 434,16 2,,4
2002,500 Memorial Dr , 576,16 1,SC,4
2002,500 Memorial Dr , 537,0,NM,1
2002,500 Memorial Dr , 257,0,FL,1
2002,500 Memorial Dr , 541,0,TX,1
