year,dorm,room_number,course,geolocation,grade
2002,500 Memorial Dr ,A308A,16 1,CA,4
2002,500 Memorial Dr ,A322A,6 2,CA,4
2002,500 Memorial Dr ,A315A,6 2,MD,3
2002,500 Memorial Dr ,A213A,0,NJ,1
2002,500 Memorial Dr ,A314A,16 1,CA,2
2002,500 Memorial Dr ,A574A,15,TX,4
2002,500 Memorial Dr ,A456A,6 3,NY,4
2002,500 Memorial Dr ,A220A,3 B,CA,2
2002,500 Memorial Dr ,A441A,0,CA,1
2002,500 Memorial Dr ,A326A,6 2,IL,4
2002,500 Memorial Dr ,A303A,0,UT,1
2002,500 Memorial Dr ,A513A,0,VA,1
2002,500 Memorial Dr ,A561A,18,,2
2002,500 Memorial Dr ,A365A,0,NY,1
2002,500 Memorial Dr ,A258A,7,NJ,2
2002,500 Memorial Dr ,A351A,0,IL,1
2002,500 Memorial Dr ,A423A,6 2,CA,3
2002,500 Memorial Dr ,A524A,15,NY,3
2002,500 Memorial Dr ,A260A,8,PA,2
2002,500 Memorial Dr ,A546A,5,MI,4
2002,500 Memorial Dr ,A421A,0,CA,1
2002,500 Memorial Dr ,A332A,0,NY,1
2002,500 Memorial Dr ,A238A,0,NY,1
2002,500 Memorial Dr ,A515A,0,,1
2002,500 Memorial Dr ,A575A,0,TX,1
2002,500 Memorial Dr ,A518A,7,MA,2
2002,500 Memorial Dr ,A202A,0,NY,1
2002,500 Memorial Dr ,A415A,2,NC,2
2002,500 Memorial Dr ,A538A,16 1,CA,2
2002,500 Memorial Dr ,A356A,4,WA,4
2002,500 Memorial Dr ,A554A,0,MD,1
2002,500 Memorial Dr ,A366A,6 1,PA,2
2002,500 Memorial Dr ,A336A,6 1,MA,3
2002,500 Memorial Dr ,A428A,15,NY,2
2002,500 Memorial Dr ,A401A,0,HI,1
2002,500 Memorial Dr ,A465A,0,MA,1
2002,500 Memorial Dr ,A374A,18,TX,4
2002,500 Memorial Dr ,A453A,0,CA,1
2002,500 Memorial Dr ,A332A,0,NJ,1
2002,500 Memorial Dr ,A544A,6 1,CA,4
2002,500 Memorial Dr ,A535A,0,,1
2002,500 Memorial Dr ,A432A,0,NY,1
2002,500 Memorial Dr ,A253A,7,OK,2
2002,500 Memorial Dr ,A556A,6 2,NJ,4
2002,500 Memorial Dr ,A246A,5,MA,2
2002,500 Memorial Dr ,A532A,0,,1
2002,500 Memorial Dr ,A458A,6 2A,,4
2002,500 Memorial Dr ,A359A,0,NJ,1
2002,500 Memorial Dr ,A206A,0,MA,1
2002,500 Memorial Dr ,A375A,0,CA,1
2002,500 Memorial Dr ,A413A,0,CT,1
2002,500 Memorial Dr ,A252A,7,PA,2
2002,500 Memorial Dr ,A407A,6 3,NJ,3
2002,500 Memorial Dr ,A366A,2,TX,2
2002,500 Memorial Dr ,A433A,6 3,CA,2
2002,500 Memorial Dr ,A201A,0,CO,1
2002,500 Memorial Dr ,A543A,0,CA,1
2002,500 Memorial Dr ,A351A,0,CA,1
2002,500 Memorial Dr ,A224A,0,NC,1
2002,500 Memorial Dr ,A232A,5,OH,2
2002,500 Memorial Dr ,A420A,6 2,NY,3
2002,500 Memorial Dr ,A301A,0,,1
2002,500 Memorial Dr ,A368A,4,FL,3
2002,500 Memorial Dr ,A334A,6 2A,GA,4
2002,500 Memorial Dr ,A468A,7,,3
2002,500 Memorial Dr ,A239A,0,MD,1
2002,500 Memorial Dr ,A429A,0,PA,1
2002,500 Memorial Dr ,A239A,0,,1
2002,500 Memorial Dr ,A508A,6 2,NY,4
2002,500 Memorial Dr ,A510A,3 B,NJ,3
2002,500 Memorial Dr ,A434A,16 2,,4
2002,500 Memorial Dr ,A576A,16 1,SC,4
2002,500 Memorial Dr ,A537A,0,NM,1
2002,500 Memorial Dr ,A257A,0,FL,1
2002,500 Memorial Dr ,A541A,0,TX,1
2002,500 Memorial Dr ,A272A,6 2,MA,3
2002,500 Memorial Dr ,A264A,0,NY,1
2002,500 Memorial Dr ,A337A,8,CA,3
2002,500 Memorial Dr ,A501A,0,NJ,1
2002,500 Memorial Dr ,A409A,6 2,NY,2
2002,500 Memorial Dr ,A341A,0,PR,1
2002,500 Memorial Dr ,A463A,0,NM,1
2002,500 Memorial Dr ,A327A,0,NJ,1
2002,500 Memorial Dr ,A421A,0,ME,1
2002,500 Memorial Dr ,A523A,6 3,CA,4
2002,500 Memorial Dr ,A241A,18,,2
2002,500 Memorial Dr ,A331A,15,CA,3
2002,500 Memorial Dr ,A276A,15,NJ,4
2002,500 Memorial Dr ,A262A,7,MA,2
2002,500 Memorial Dr ,A427A,0,NM,1
2002,500 Memorial Dr ,A450A,0,NY,1
2002,500 Memorial Dr ,A442A,1 E,VA,3
2002,500 Memorial Dr ,A261A,0,VA,1
2002,500 Memorial Dr ,A536A,0,,1
2002,500 Memorial Dr ,A530A,0,,1
2002,500 Memorial Dr ,A338A,9,NY,3
2002,500 Memorial Dr ,A330A,0,OH,1
2002,500 Memorial Dr ,A275A,0,CA,1
2002,500 Memorial Dr ,A471A,15,IL,2
2002,500 Memorial Dr ,A454A,0,NJ,1
2002,500 Memorial Dr ,A462A,16 1,AZ,4
2002,500 Memorial Dr ,A254A,0,CA,1
2002,500 Memorial Dr ,A352A,0,GA,1
2002,500 Memorial Dr ,A403A,0,CA,1
2002,500 Memorial Dr ,A413A,0,OH,1
2002,500 Memorial Dr ,A539A,0,MO,1
2002,500 Memorial Dr ,A528A,0,CA,1
2002,500 Memorial Dr ,A266A,0,NY,1
2002,500 Memorial Dr ,A410A,7,NY,3
2002,500 Memorial Dr ,A516A,6 2,,2
2002,500 Memorial Dr ,A540A,16 1,CT,4
2002,500 Memorial Dr ,A444A,2:00 AM,MO,4
2002,500 Memorial Dr ,A256A,7,MA,2
2002,500 Memorial Dr ,A430A,0,CA,1
2002,500 Memorial Dr ,A266A,0,NJ,1
2002,500 Memorial Dr ,A461A,15,AL,3
2002,500 Memorial Dr ,A274A,6 2,UT,3
2002,500 Memorial Dr ,A313A,0,VA,1
2002,500 Memorial Dr ,A371A,0,RI,1
2002,500 Memorial Dr ,A439A,0,CA,1
2002,500 Memorial Dr ,A329A,0,NY,1
2002,500 Memorial Dr ,A302A,0,OR,1
2002,500 Memorial Dr ,A529A,0,WA,1
2002,500 Memorial Dr ,A564A,0,MA,1
2002,500 Memorial Dr ,A221A,0,OR,1
2002,500 Memorial Dr ,A414A,7,NY,3
2002,500 Memorial Dr ,A419A,6 2,NJ,3
